model,version,target,mean_score,std_score,mean_params,best_params,best_score
LightGBM,1,work,-1.9821446697845984,0.0079518087710569,,"{'regressor__bagging_fraction': 0.8, 'regressor__bagging_freq': 0, 'regressor__feature_fraction': 0.8, 'regressor__lambda_l1': 0, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 10, 'regressor__min_child_samples': 20, 'regressor__n_estimators': 100, 'regressor__num_leaves': 31}",-1.98156188389129
LightGBM,1,edu,-1.7066861734378895,0.0131004146562647,,"{'regressor__bagging_fraction': 0.8, 'regressor__bagging_freq': 5, 'regressor__feature_fraction': 0.8, 'regressor__lambda_l1': 0.1, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 10, 'regressor__min_child_samples': 20, 'regressor__n_estimators': 100, 'regressor__num_leaves': 200}",-1.7062544537927082
LightGBM,1,free_time,-1.446171180461266,0.0051084647697158,,"{'regressor__bagging_fraction': 0.8, 'regressor__bagging_freq': 0, 'regressor__feature_fraction': 0.8, 'regressor__lambda_l1': 0.1, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 10, 'regressor__min_child_samples': 20, 'regressor__n_estimators': 100, 'regressor__num_leaves': 31}",-1.4456542378391215
LightGBM,1,health,-1.6077461309279384,0.0146427256412718,,"{'regressor__bagging_fraction': 0.8, 'regressor__bagging_freq': 0, 'regressor__feature_fraction': 0.8, 'regressor__lambda_l1': 0.1, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 10, 'regressor__min_child_samples': 20, 'regressor__n_estimators': 100, 'regressor__num_leaves': 31}",-1.6071509439312446
LightGBM,1,chores,-2.493965215556494,0.0095257399474408,,"{'regressor__bagging_fraction': 0.8, 'regressor__bagging_freq': 5, 'regressor__feature_fraction': 0.8, 'regressor__lambda_l1': 0.1, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 10, 'regressor__min_child_samples': 20, 'regressor__n_estimators': 100, 'regressor__num_leaves': 31}",-2.493214828249059
LightGBM,2,work,-1.9816321532006067,0.0078321864120559,,"{'regressor__bagging_fraction': 0.8, 'regressor__bagging_freq': 10, 'regressor__feature_fraction': 0.8, 'regressor__lambda_l1': 0.1, 'regressor__learning_rate': 0.005, 'regressor__max_depth': 20, 'regressor__min_child_samples': 20, 'regressor__n_estimators': 100, 'regressor__num_leaves': 100}",-1.9814182421703803
LightGBM,2,edu,-1.7063044046382876,0.0129427866956666,,"{'regressor__bagging_fraction': 0.8, 'regressor__bagging_freq': 5, 'regressor__feature_fraction': 0.6, 'regressor__lambda_l1': 0, 'regressor__learning_rate': 0.005, 'regressor__max_depth': 20, 'regressor__min_child_samples': 20, 'regressor__n_estimators': 100, 'regressor__num_leaves': 100}",-1.7061375307771247
LightGBM,2,free_time,-1.4456823450556078,0.00502158847113,,"{'regressor__bagging_fraction': 0.6, 'regressor__bagging_freq': 10, 'regressor__feature_fraction': 0.6, 'regressor__lambda_l1': 0.1, 'regressor__learning_rate': 0.005, 'regressor__max_depth': 10, 'regressor__min_child_samples': 20, 'regressor__n_estimators': 100, 'regressor__num_leaves': 31}",-1.4453969972136975
LightGBM,2,health,-1.6072065957601471,0.014921715045622,,"{'regressor__bagging_fraction': 0.8, 'regressor__bagging_freq': 10, 'regressor__feature_fraction': 0.6, 'regressor__lambda_l1': 0.1, 'regressor__learning_rate': 0.005, 'regressor__max_depth': 10, 'regressor__min_child_samples': 20, 'regressor__n_estimators': 100, 'regressor__num_leaves': 100}",-1.6068891147744189
LightGBM,2,chores,-2.4932853485757644,0.0094321492076924,,"{'regressor__bagging_fraction': 0.8, 'regressor__bagging_freq': 5, 'regressor__feature_fraction': 0.6, 'regressor__lambda_l1': 0.1, 'regressor__learning_rate': 0.005, 'regressor__max_depth': 10, 'regressor__min_child_samples': 20, 'regressor__n_estimators': 100, 'regressor__num_leaves': 31}",-2.4929161670169444
