user_weight_no,work,edu,free_time,health,chores,category_else,history_no
1,0.84,0.06,0.68,0.64,0.99,0.13,60563.0
2,0.84,0.66,0.58,0.06,0.53,0.21,63657.0
3,0.52,0.94,0.18,0.28,0.25,0.88,52023.0
4,0.55,0.34,0.2,0.05,0.35,0.91,24541.0
5,0.58,0.86,0.87,0.09,0.52,0.5,46858.0
6,0.59,0.72,0.23,0.02,0.56,0.47,49678.0
7,0.34,0.76,0.64,0.55,0.13,0.83,55802.0
8,0.46,0.13,0.98,0.72,0.4,0.83,34111.0
9,0.27,0.2,0.42,0.4,0.51,0.8,52023.0
10,0.57,0.23,0.21,0.09,0.45,0.33,55802.0
11,0.11,0.38,0.31,0.58,0.39,0.84,62976.0
12,0.48,0.34,0.15,0.57,0.77,0.18,53480.0
13,0.99,0.47,0.62,0.13,0.77,0.38,52590.0
14,0.67,0.37,0.93,0.5,0.93,0.0,14433.0
15,0.5,0.05,0.41,0.24,0.35,0.3,60563.0
16,0.43,0.5,0.88,0.1,0.62,0.54,13159.0
17,0.57,0.24,0.39,0.74,0.17,0.67,13700.0
18,0.43,0.32,0.24,0.24,0.81,0.15,26182.0
19,0.33,0.14,0.69,0.97,0.65,0.66,10340.0
20,0.83,0.11,0.29,0.77,0.53,0.69,6328.0
21,0.44,0.73,0.08,0.47,0.12,0.66,60252.0
22,0.23,0.87,0.79,0.55,0.91,0.8,23162.0
23,0.21,0.83,0.89,0.35,0.37,0.13,13564.0
24,0.09,0.87,0.8,0.41,0.4,0.52,24541.0
25,0.03,0.23,0.53,0.64,0.39,0.52,42022.0
26,0.75,0.3,0.54,0.74,0.96,0.95,17965.0
27,0.71,0.5,0.41,0.56,0.4,0.37,56357.0
28,0.83,0.93,0.91,0.09,0.79,0.57,6258.0
29,0.38,0.28,0.71,0.95,0.59,0.92,12640.0
30,0.83,0.24,0.42,0.97,0.37,0.11,6258.0
31,0.85,0.89,0.75,0.37,0.58,0.72,66498.0
32,0.64,0.08,0.43,0.4,0.04,0.37,7001.0
33,0.0,0.32,0.52,0.34,0.74,0.49,53480.0
34,0.01,0.45,0.9,0.91,0.0,0.8,2990.0
35,0.16,0.8,0.47,0.39,0.91,0.61,51460.0
36,0.27,0.7,1.0,0.8,0.19,0.57,2645.0
37,0.43,0.2,0.85,0.35,0.29,0.49,60770.0
38,0.44,0.05,0.77,0.61,0.12,0.82,44188.0
39,0.32,0.39,0.64,0.08,0.71,0.33,60770.0
40,0.96,0.54,0.11,0.43,0.11,0.07,34111.0
41,0.19,0.81,0.56,0.05,0.16,0.28,10101.0
42,0.99,0.28,0.7,0.6,0.52,0.95,10340.0
43,0.54,0.27,0.21,0.31,0.09,0.71,24541.0
44,0.29,0.62,0.75,0.27,0.99,0.37,63657.0
45,0.11,0.09,0.4,0.88,0.08,0.47,60563.0
46,0.44,0.06,0.96,0.69,0.13,0.7,14433.0
47,0.27,0.6,0.84,0.57,0.72,0.23,29587.0
48,0.66,0.05,0.41,0.68,0.12,0.68,46126.0
49,0.01,0.06,0.89,0.18,0.36,0.26,55802.0
50,0.07,0.64,0.7,0.89,0.36,0.98,13564.0
51,0.67,0.01,0.96,0.63,0.54,0.15,2030.0
52,0.43,0.74,0.3,0.9,0.03,0.94,42022.0
53,0.36,0.61,0.07,0.45,0.65,0.95,66817.0
54,0.87,0.72,0.22,0.48,0.83,0.36,17965.0
55,0.64,0.71,0.32,0.51,0.07,0.31,23162.0
56,0.53,0.29,0.94,0.22,0.03,0.74,59537.0
