work,edu,free_time,health,chores,age,job,mbti,gender,category_else
6,5,4,3,7,22,3,1,1,0
7,5,4,3,6,30,4,3,0,0
3,4,5,6,7,26,3,15,1,0
3,5,4,6,7,40,5,6,1,0
6,5,7,3,4,20,2,14,1,0
4,6,7,3,5,27,4,4,0,0
3,5,4,6,7,20,4,12,1,0
6,5,4,3,7,25,4,3,0,0
4,3,5,6,7,25,3,1,0,0
3,4,5,7,6,44,8,9,1,0
3,6,4,5,7,30,3,9,0,0
7,6,4,3,5,29,5,6,0,0
5,3,6,4,7,31,5,9,1,0
4,6,3,5,7,25,4,1,0,0
7,5,4,3,0,25,3,1,0,0
3,4,6,7,0,20,2,14,1,0
6,5,3,0,7,22,3,1,1,0
4,7,6,3,5,40,5,6,1,0
3,4,7,5,6,27,4,4,0,0
5,4,6,3,7,26,3,13,0,0
6,3,5,4,7,40,5,6,1,0
5,7,4,3,6,4,0,3,1,0
5,7,3,4,0,27,5,6,0,0
7,6,5,3,0,4,0,3,1,0
4,6,5,3,7,26,3,13,0,0
0,7,4,5,6,30,4,3,0,0
3,7,5,4,6,32,8,5,1,0
4,3,5,6,7,31,8,11,1,0
5,4,3,6,7,25,4,1,0,0
3,4,6,5,7,25,3,1,0,0
7,4,6,3,0,33,8,11,1,0
3,6,4,5,7,22,3,1,1,0
3,7,5,6,4,30,5,7,1,0
5,0,3,6,7,23,3,1,0,0
5,4,3,6,7,26,3,15,1,0
3,4,5,6,7,26,3,15,1,0
4,7,5,3,6,23,3,1,0,0
3,7,6,5,4,30,5,13,1,0
6,3,4,5,7,24,3,12,1,0
4,7,6,3,5,45,5,11,1,0
3,6,7,4,5,20,2,14,1,0
3,6,7,5,4,30,4,3,0,0
3,6,7,5,4,30,5,7,1,0
4,5,3,6,7,37,5,0,1,0
7,6,4,3,5,25,4,3,0,0
6,4,7,3,5,28,4,12,0,0
3,6,5,4,7,30,3,9,0,0
5,7,3,4,6,44,8,9,1,0
4,7,6,3,5,21,3,7,1,0
3,4,5,6,7,21,3,3,1,0
4,6,7,3,0,31,8,11,1,0
4,5,7,3,6,21,3,7,1,0
4,5,6,3,7,30,4,3,0,0
5,3,4,6,7,20,3,7,1,0
4,5,7,3,6,28,4,14,1,0
6,3,4,5,7,31,5,9,1,0
4,5,7,3,6,30,5,7,1,0
5,4,3,6,7,43,5,12,0,0
7,5,4,3,0,32,5,5,1,0
3,6,7,5,4,30,3,9,0,0
6,5,4,3,7,21,3,3,1,0
6,3,5,4,7,26,3,15,1,0
6,3,4,5,7,45,4,6,0,0
3,4,7,5,6,28,4,12,0,0
5,7,3,4,0,43,8,11,1,0
3,6,4,5,7,27,5,6,0,0
3,6,4,5,7,26,3,15,1,0
7,6,5,3,0,37,5,0,1,0
4,5,6,3,7,29,5,12,1,0
3,4,5,6,7,43,8,11,1,0
4,7,6,3,5,29,3,7,1,0
7,6,5,3,0,30,4,12,0,0
3,4,5,6,7,25,4,1,0,0
5,7,4,3,6,26,3,15,1,0
4,5,6,3,7,44,8,9,1,0
7,5,4,3,6,30,4,3,0,0
7,6,5,3,0,29,5,12,1,0
4,5,3,6,7,27,4,4,0,0
3,4,6,5,7,43,8,11,1,0
3,7,6,5,4,26,4,15,1,0
7,5,4,3,6,25,3,1,0,0
6,3,5,4,7,20,3,7,1,0
3,7,5,6,4,27,5,6,0,0
7,6,4,3,5,29,5,6,0,0
5,7,4,3,6,28,5,12,0,0
4,5,3,6,7,25,4,3,0,0
4,6,5,3,7,30,5,13,1,0
4,7,6,3,5,20,2,1,0,0
3,7,5,4,6,22,3,0,1,0
3,6,7,5,4,23,3,1,0,0
4,3,5,6,7,24,3,4,1,0
3,4,6,7,0,38,6,10,1,0
7,5,4,3,0,44,8,9,1,0
3,6,5,4,7,20,3,7,1,0
4,6,7,3,0,26,4,15,1,0
4,5,3,6,7,28,4,12,0,0
4,5,7,3,6,45,5,11,1,0
4,5,7,3,6,4,0,3,1,0
3,4,5,6,7,31,5,9,1,0
4,7,5,3,6,28,4,14,1,0
4,6,7,3,0,40,5,6,1,0
3,5,4,6,7,44,8,9,1,0
6,3,5,4,7,26,3,13,0,0
4,3,5,6,7,25,5,10,1,0
6,3,4,5,7,32,5,5,1,0
4,7,6,3,5,30,4,12,0,0
3,5,4,6,7,23,3,1,0,0
4,6,5,3,7,21,3,3,1,0
4,6,3,5,7,24,3,4,1,0
3,4,5,6,7,43,5,12,0,0
4,3,5,6,7,22,3,1,1,0
0,7,4,5,6,25,4,3,0,0
4,5,6,3,7,43,8,11,1,0
7,5,4,3,6,28,4,0,0,0
5,4,6,3,7,20,2,1,0,0
4,3,5,6,7,25,4,3,0,0
3,6,5,4,7,32,8,5,1,0
3,5,4,6,7,25,4,1,0,0
4,5,3,6,7,27,5,6,0,0
6,5,4,3,7,25,4,14,0,0
3,6,5,4,7,27,5,6,0,0
5,4,3,6,7,32,5,5,1,0
4,6,3,5,7,4,0,3,1,0
6,5,3,0,7,22,3,0,1,0
3,4,5,6,7,21,3,3,1,0
3,4,5,6,7,30,4,12,0,0
4,7,6,3,5,28,4,0,0,0
3,5,4,6,7,23,3,1,0,0
7,5,4,3,6,30,4,5,1,0
4,6,7,3,5,26,3,15,1,0
5,3,4,6,7,29,5,12,1,0
3,6,7,5,4,40,5,6,1,0
3,5,4,6,7,30,4,3,0,0
5,3,4,6,7,21,3,7,1,0
5,4,3,6,7,45,5,11,1,0
4,7,6,3,5,29,5,6,0,0
0,7,4,5,6,29,5,12,1,0
4,5,3,6,7,43,5,12,0,0
5,0,3,6,7,25,5,12,1,0
3,4,5,7,6,26,3,13,0,0
3,4,5,6,7,20,2,14,1,0
4,6,3,5,7,30,3,9,0,0
7,4,6,3,0,20,4,12,1,0
5,7,3,4,6,27,4,0,0,0
7,5,4,3,0,28,5,12,0,0
6,5,4,3,7,43,5,12,0,0
4,6,3,5,7,29,5,6,0,0
5,7,3,4,0,37,5,0,1,0
4,7,6,3,5,28,4,0,0,0
6,3,5,4,7,29,3,7,1,0
3,4,6,7,0,32,5,5,1,0
7,6,4,3,5,27,4,0,0,0
4,7,6,3,5,24,3,4,1,0
3,6,5,4,7,27,5,6,0,0
4,5,6,3,7,27,4,0,0,0
7,6,5,3,0,40,5,6,1,0
0,7,4,5,6,43,8,11,1,0
4,6,5,3,7,37,5,0,1,0
7,6,4,3,5,30,5,7,1,0
3,6,7,4,5,30,5,13,1,0
5,4,3,6,7,26,3,13,0,0
7,5,4,3,0,21,3,3,1,0
7,6,4,3,5,27,5,6,0,0
6,5,4,3,7,20,4,12,1,0
4,6,5,3,7,29,3,7,1,0
3,5,4,6,7,28,4,0,0,0
4,3,5,6,7,27,5,6,0,0
7,6,5,3,0,40,5,6,1,0
6,5,4,3,7,28,5,12,0,0
4,5,3,6,7,40,5,6,1,0
6,5,4,3,7,31,5,9,1,0
7,6,5,3,0,27,4,0,0,0
3,6,4,5,7,32,5,5,1,0
4,6,7,3,0,32,5,5,1,0
6,5,3,0,7,25,4,3,0,0
6,5,4,3,7,26,3,15,1,0
5,4,3,6,7,40,5,6,1,0
5,4,3,6,7,21,3,7,1,0
3,7,5,6,4,28,5,12,0,0
6,5,7,3,4,28,4,0,0,0
3,6,7,5,4,20,4,12,1,0
6,3,4,5,7,22,3,1,1,0
3,6,7,4,5,45,4,6,0,0
4,3,5,6,7,20,4,12,1,0
3,5,4,6,7,29,5,12,1,0
4,3,5,6,7,25,4,5,0,0
6,5,4,3,7,40,5,6,1,0
7,6,4,3,5,29,5,6,0,0
5,0,3,6,7,27,4,0,0,0
3,7,5,6,4,29,5,12,1,0
5,7,3,4,6,32,5,5,1,0
4,5,7,3,6,28,4,12,0,0
5,7,3,4,0,44,8,9,1,0
7,6,5,3,0,45,4,6,0,0
4,7,5,3,6,29,5,6,0,0
5,4,3,6,7,45,4,6,0,0
4,5,3,6,7,45,5,11,1,0
