mbti,work,edu,free_time,health,chores,category_else
00,0.4375,0.5,0.5625,0.75,0.25,0.0
01,0.55,0.55,0.7,0.55,0.0,0.0
03,0.5625,0.25,0.625,0.5625,0.3125,0.0
04,0.6666666666666666,0.4166666666666667,0.75,0.5833333333333334,0.08333333333333333,0.0
05,0.6,0.4,0.3,0.85,0.15,0.0
06,0.6,0.3,0.55,0.35,0.35,0.0
07,0.6875,0.625,0.625,0.5,0.0,0.0
09,0.6875,0.375,0.375,0.6875,0.375,0.0
10,0.875,0.625,0.125,0.5,0.125,0.0
11,0.6875,0.3125,0.3125,0.875,0.3125,0.0
12,0.59375,0.375,0.46875,0.84375,0.1875,0.0
13,0.5,0.75,0.625,0.625,0.0,0.0
14,0.75,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.0
15,1.0,0.75,0.25,0.375,0.125,0.0
