age,job,mbti,gender,work,edu,free_time,health,chores,category_else
28,004,00,0,6,5,4,3,7,0
27,004,00,0,7,5,4,3,6,0
26,003,15,1,3,4,5,6,7,0
23,003,01,0,3,5,4,6,7,0
30,004,12,0,6,5,7,3,4,0
25,004,14,0,4,6,7,3,5,0
25,003,01,0,3,5,4,6,7,0
25,004,01,0,6,5,4,3,7,0
24,003,12,1,4,3,5,6,7,0
25,004,03,0,3,4,5,7,6,0
28,004,14,1,3,6,4,5,7,0
21,003,03,1,7,6,4,3,5,0
22,003,00,1,5,3,6,4,7,0
24,003,04,1,4,6,3,5,7,0
28,004,12,0,7,5,4,3,0,0
38,006,10,1,3,4,6,7,0,0
45,004,06,0,6,5,3,0,7,0
4,000,03,1,4,7,6,3,5,0
26,004,15,1,3,4,7,5,6,0
26,003,13,0,5,4,6,3,7,0
20,003,07,1,6,3,5,4,7,0
20,004,12,1,5,7,4,3,6,0
21,003,07,1,5,7,3,4,0,0
22,003,01,1,7,6,5,3,0,0
28,005,12,0,4,6,5,3,7,0
29,005,06,0,0,7,4,5,6,0
27,004,04,0,3,7,5,4,6,0
30,004,05,1,4,3,5,6,7,0
30,005,13,1,5,4,3,6,7,0
30,003,09,0,3,4,6,5,7,0
25,004,05,0,7,4,6,3,0,0
29,005,12,1,3,6,4,5,7,0
37,005,00,1,3,7,5,6,4,0
30,004,03,0,5,0,3,6,7,0
20,002,14,1,5,4,3,6,7,0
30,005,07,1,3,4,5,6,7,0
32,005,05,1,4,7,5,3,6,0
31,005,09,1,3,7,6,5,4,0
26,004,04,0,6,3,4,5,7,0
43,005,12,0,4,7,6,3,5,0
45,005,11,1,3,6,7,4,5,0
40,005,06,1,3,6,7,5,4,0
40,005,06,1,3,6,7,5,4,0
27,005,06,0,4,5,3,6,7,0
43,008,11,1,7,6,4,3,5,0
44,008,09,1,6,4,7,3,5,0
31,008,11,1,3,6,5,4,7,0
25,005,09,0,5,7,3,4,6,0
32,005,05,1,4,7,6,3,5,0
29,003,07,1,3,4,5,6,7,0
32,008,05,1,4,6,7,3,0,0
33,008,11,1,4,5,7,3,6,0
25,005,12,1,4,5,6,3,7,0
20,002,01,0,5,3,4,6,7,0
25,005,10,1,4,5,7,3,6,0
